id,genres,backdrop_path,overview,poster_path,release_date,runtime,title,vote_average,youtube_link,actors,director
10799,['Action'],/vK2Q3iQ9ii1qwWmiuQQ8J0mKb1Q.jpg,"When the young detective Paul Nerteaux finds the third slashed female corpse of illegal Turkish immigrants, he decides to ask for support to the experienced dark retired detective Jean-Louis Schiffer to chase the serial killer. Together, they infiltrate in the Turkish mafia trying to find the answer to the crimes. Meanwhile, the worker Anna Heymes is being submitted to a brain treatment and has severe headaches and glimpses of memories and visions. When these two parallel events collide, disclose that the Turkish organization ""The Wolves"" is behind them.",/AkX5I7NF3OcFvxwWm2VzsRgZ1yb.jpg,2005-04-20,128,Empire of the Wolves,5,https://www.youtube.com/watch?v=fEXHUtXA53g,"['Jean Reno', 'Arly Jover', 'Jocelyn Quivrin', 'Laura Morante', 'Philippe du Janerand', 'Philippe Bas', 'Didier Sauvegrain', 'Patrick Floersheim', 'Etienne Chicot', 'Albert Dray']",['Chris Nahon']
10800,"['Animation', 'Family']",/wlsV51ynKPWRlEzYDzsgd1ZXTkY.jpg,"Dragon Hunters is a fantastic tale telling the adventures of two dragon hunters: the world has become a vast conglomerate of islands of varying size and shape. This babbling universe is mainly peopled with ruthless rogues, surly peasants and illiterate, petty lords Their main concerns revolve around two fundamental rules : Eat and don't get eaten.",/bhHhTCh43aT3kAeknSd5T5BcZcJ.jpg,2008-03-19,80,Dragon Hunters,6,https://www.youtube.com/watch?v=lwIQpf2GY70,"['Vincent Lindon', 'Patrick Timsit', 'Philippe Nahon', 'Amanda Lear', 'Marie Drion', 'Jérémy Prevost', 'John DiMaggio', 'Elias Eliot', 'Jess Harnell', 'Nick Jameson']","['Guillaume Ivernel', 'Arthur Qwak']"
10801,['Comedy'],,,/Aw7t5TYwvMt3Y55pcLsSBfikOy4.jpg,1996-03-06,86,The Superwife,4,https://www.youtube.com/watch?v=XIklZmEKG1I,"['Veronica Ferres', 'Til Schweiger', 'Joachim Król', 'Liselotte Pulver', 'Thomas Heinze', 'Richy Müller', 'Maren Kroymann', 'Esther Schweins', 'Armin Rohde', 'Heiner Lauterbach']",['Sönke Wortmann']
10802,['Drama'],/cIXSZnfdRV5xh9bs4Cnv3OryGS2.jpg,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,/wIHiWN7kCELUZzbCMpMcxNC8HlS.jpg,1995-09-22,131,Showgirls,5,https://www.youtube.com/watch?v=kDJdLxpdU40,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon', 'Glenn Plummer', 'Robert Davi', 'Alan Rachins', 'Gina Ravera', 'Lin Tucci', 'Greg Travis', 'Al Ruscio']",['Paul Verhoeven']
10806,['Comedy'],/rhn1klR424nuy7grrn5iJI602Ca.jpg,A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.,/jUTQp6cPgfOX4St2WfaeUvxZCts.jpg,1997-09-10,90,In & Out,6,https://www.youtube.com/watch?v=fxD7Ty5ZhQE,"['Kevin Kline', 'Joan Cusack', 'Tom Selleck', 'Matt Dillon', 'Debbie Reynolds', 'Wilford Brimley', 'Bob Newhart', 'Gregory Jbara', 'Shalom Harlow', 'Shawn Hatosy']",['Frank Oz']
10808,"['Comedy', 'Family', 'Romance', 'Fantasy']",/VtFa6Ph0xCO6QJ86ihCrpsDBIO.jpg,"A group of beavers ask Dr. Dolittle to save their habitat from loggers. The only hope is to get the forest preserved because it's the home of a protected bear, but there's a problem: the bear's the only bear in the forest, so she can't reproduce. Undaunted, Dolittle persuades a circus bear to help out, but he has to teach him not just the ways of the wild, but the wiles of lady bears too.",/qEzgdEPLDJBPUj47sobRKzmuETc.jpg,2001-06-22,87,Dr. Dolittle 2,5,https://www.youtube.com/watch?v=EXpnizX4kMA,"['Eddie Murphy', 'Kristen Wilson', 'Kyla Pratt', 'Raven-Symoné', 'Steve Zahn', 'Lisa Kudrow', 'James Avery', 'Andy Richter', ""Lil' Zane"", 'Denise Dowse']",['Steve Carr']
10813,['Drama'],/918dXDPOZnNg9bHSDYZngpxjDC1.jpg,"Carla, the runaway with high aims. Lucie, the street girl. Interchanged identities and a shared baby. Collage of a fateful year.",/xN3SZ8O22bWQKWPnLXYS1YEOL7h.jpg,2008-05-01,100,Nothing Else Matters,4,https://www.youtube.com/watch?v=Y6fzsybBIyI,"['Paula Kalenberg', 'Marie-Luise Schramm', 'Benjamin Kramme', 'Katy Karrenbauer', 'Anja Beatrice Kaul', 'Vinzenz Kiefer', 'Toni Osmani', 'Evelyn Meyka']",['Julia von Heinz']
10817,['Drama'],/am9HYkhHNGxmIiskTT5MrB1J7ON.jpg,"A teenage summer in a small town in the desert, a dysfunctional family, a rock band, a can full of glue, two boys, one girl, loads of tongue kisses, dry heat, wind in Patagonia, existential angst... A teenage story in the middle of nowhere.",/hs2t9b50iFwCE3mXlO12Vb72rAM.jpg,2006-02-02,110,Glue,6,https://www.youtube.com/watch?v=aWNVni3DTbg,"['Nahuel Pérez Biscayart', 'Nahuel Viale', 'Inés Efron', 'Verónica Llinás']",['Alexis Dos Santos']
10818,"['Drama', 'Romance']",/loNWoufXs1KvLYif4ObGw6tI5ao.jpg,"Set during a sultry summer in a French suburb, Marie is desperate to join the local pool's synchronized swimming team, but is her interest solely for the sake of sport or for a chance to get close to Floriane, the bad girl of the team? Sciamma, and the two leads, capture the uncertainty of teenage sexuality with a sympathetic eye in this delicate drama of the angst of coming-of-age.",/zbBba2Qq7oMUjGQyvoE1hwlNtbb.jpg,2007-05-17,85,Water Lilies,6,https://www.youtube.com/watch?v=noJCYVn6Hb4,"['Pauline Acquart', 'Adèle Haenel', 'Louise Blachère', 'Warren Jacquin', 'Marie Gili-Pierre', 'Alice de Lencquesaing', 'Claire Pierrat', 'Barbara Renard', 'Esther Sironneau', 'Jérémie Steib']",['Céline Sciamma']
10819,"['Comedy', 'Drama']",/9QunkmhwvnKTw9e9Oh4TOJ9ebcn.jpg,"Wojnar is a wealthy man who is marrying off his beautiful daughter Kasia, in a small town in present day Poland. Wojnar had to bribe the groom with a fancy car, since Kasia was pregnant by another man. At the end of the ceremony, the car is delivered by a gangster, who immediately demands the promised money and the deed to land from Kasia's grandfather. Unfortunately grandpa is unwilling to let go of the land. Meanwhile each of the workers at the reception demand to be paid, so Wojnar, who is very reluctant to part with his money, tries to haggle and bribe his way out of all the situations.",/nifnApRgBBbDeX4dPNPcA2Udl8j.jpg,2004-10-13,109,The Wedding,7,https://www.youtube.com/watch?v=cRZZveMVGTI,"['Robert Wabich', 'Marian Dziędziel', 'Andrzej Beja-Zaborski', 'Wojciech Skibiński', 'Bartłomiej Topa', 'Arkadiusz Jakubik', 'Krystyna Rutkowska-Ulewicz', 'Tamara Arciuch', 'Maciej Stuhr', 'Jerzy Rogalski']",['Wojciech Smarzowski']
10822,['Drama'],/lPaccvnbWxjA6GdemUeFmrbJNv2.jpg,"This examination of a famous scandal from the 1970s explores the relationship between Barbara Baekeland and her only son, Antony. Barbara, a lonely social climber unhappily married to the wealthy but remote plastics heir Brooks Baekeland, dotes on Antony, who is homosexual. As Barbara tries to ""cure"" Antony of his sexuality -- sometimes by seducing him herself -- the groundwork is laid for a murderous tragedy.",/z83ExVvReRTMuwxRqatzUaHwIYR.jpg,2007-05-18,97,Savage Grace,5,https://www.youtube.com/watch?v=8A97ie52ZjM,"['Julianne Moore', 'Stephen Dillane', 'Eddie Redmayne', 'Anne Reid', 'Elena Anaya', 'Hugh Dancy', 'Minnie Marx', 'Jim Arnold', 'Mapi Galán', 'Abel Folk']",['Tom Kalin']
10824,"['Horror', 'Thriller']",/5UzXIBh94vmTFHzIBiQZT6WhpOk.jpg,"The Candyman moves on to New Orleans and starts his horrific murders once more. This time, his intended victim is a school teacher. Her father was killed by the Candyman, and brother wrongly accused of the murders.",/2rQ6q7PjHrMQALXpPl7ExhQIvb4.jpg,1995-03-17,93,Candyman: Farewell to the Flesh,5,https://www.youtube.com/watch?v=jpInUUDkZwo,"['Tony Todd', 'Kelly Rowan', ""William O'Leary"", 'Bill Nunn', 'David Gianopoulos', 'Matt Clark', 'Timothy Carhart', 'Veronica Cartwright', 'Fay Hauser', 'Joshua Gibran Mayweather']",['Bill Condon']
10829,"['Action', 'Comedy', 'Horror', 'Science Fiction', 'Thriller']",/17ncjPVrbBQ66N9U5mjpIluT4s0.jpg,"Burt Gummer returns home to Perfection, Nev., to find that the town of terror has become a theme park, and when the simulated giant worm attacks turn real, the survivalist must battle the creatures once again. Gummer pits his impressive knowledge of weaponry against the newest and deadliest generation of flesh-eating graboids, with help from two young entrepreneurs.",/2dpgRy7ekDUNNk2FxYPkxBcG8li.jpg,2001-10-02,100,Tremors 3: Back to Perfection,5,https://www.youtube.com/watch?v=jw0qzPAQW3w,"['Michael Gross', 'Susan Chuang', 'Shawn Christian', 'Charlotte Stewart', 'Ariana Richards', 'Tony Genaro', 'Lorna Scott', 'Barry Livingston', 'Billy Rieck', 'John Pappas']",['Brent Maddock']
10830,"['Comedy', 'Family', 'Fantasy']",/iXlHfi9hq7nfSv31pBab8fpMfZh.jpg,An extraordinarily intelligent young girl from a cruel and uncaring family discovers she possesses telekinetic powers and is sent off to a school headed by a tyrannical principal.,/wnLbqoGRGdnPNjMV6rY75wgRamd.jpg,1996-08-02,98,Matilda,7,https://www.youtube.com/watch?v=pnzLRDDijW0,"['Mara Wilson', 'Danny DeVito', 'Rhea Perlman', 'Embeth Davidtz', 'Pam Ferris', 'Paul Reubens', 'Tracey Walter', 'Jean Speegle Howard', 'Brian Levinson', 'Sara Magdalin']",['Danny DeVito']
10832,"['Thriller', 'Horror']",/k70QhrWHOpJw6WDIUDUMEnZSCRg.jpg,"Lucas and Clementine live peacefully in their isolated country house, but one night they wake up to strange noise. They're not alone... and a group of hooded assailants begin to terrorize them throughout the night.",/kEO9nGyCRGLNIb5kPPjdYAqJ4bO.jpg,2006-07-19,77,Them,6,https://www.youtube.com/watch?v=yFTbcDRkG1o,"['Olivia Bonamy', 'Michaël Cohen', 'Adriana Mocca', 'Maria Roman', 'Camelia Maxim', 'Alexandru Boghiu', 'Emanuel Stefanuc', 'Horia Ioan', 'Stefan Cornic', 'George Iulian']","['David Moreau', 'Xavier Palud']"
10833,"['Comedy', 'Romance', 'Crime']",/yYiMzRG3ADDTrPV7PFQkO0H4bY5.jpg,"Max and Page are a brilliant mother/daughter con team who have their grift down to a fine science. Max targets wealthy, willing men and marries them. Page then seduces them, and Max catches her husband in the act. Then it's off to palimony city and the next easy mark.",/bwvec0gRMSpLakcPuxe0RWScNv3.jpg,2001-03-23,123,Heartbreakers,6,https://www.youtube.com/watch?v=ja2Q5gH_Mac,"['Sigourney Weaver', 'Jennifer Love Hewitt', 'Gene Hackman', 'Ray Liotta', 'Jason Lee', 'Anne Bancroft', 'Stacey Travis', 'Jeffrey Jones', 'Nora Dunn', 'Sarah Silverman']",['David Mirkin']
10836,"['Fantasy', 'Horror', 'Thriller']",/nO8lpaJLo1UVIXL7eM5ewwudvtY.jpg,"A boating accident off the coast of Spain sends Paul and his girlfriend Barbara to the decrepit fishing village of Imboca. As night falls, people start to disappear and things not quite human start to appear. Paul is pursued by the entire town. Running for his life, he uncovers Imboca's secret..they worship Dagon, a monstrous god of the sea...and Dagon's unholy offspring are on the loose...",/nstavzVn4XWkHjAGjBs2BsCZXZp.jpg,2001-10-12,95,Dagon,6,https://www.youtube.com/watch?v=TRUAmvzWVBQ,"['Ezra Godden', 'Francisco Rabal', 'Raquel Meroño', 'Macarena Gómez', 'Brendan Price', 'Birgit Bofarull', 'Uxía Blanco', 'Ferran Lahoz', 'Alfredo Villa', 'José Lifante']",['Stuart Gordon']
10837,"['Adventure', 'Animation', 'Family', 'Comedy', 'Fantasy']",/sK3ntQQ6oehpECfBNe4Ax6tuFJL.jpg,"With his nephews and niece, everyone's favorite rich uncle, Scrooge McDuck, treks from his mansion home in Duckburg in search of the long-lost loot of the thief Collie Baba. But finding the goods isn't quite what it's ""quacked"" up to be! Their thrilling adventure leads to comical chaos, magical mayhem, and a lesson about what is far more valuable than money, gold and jewels.",/qGbB0PtHq63FACIbVORvWvUKtbL.jpg,1990-08-03,74,DuckTales: The Movie - Treasure of the Lost Lamp,6,https://www.youtube.com/watch?v=0kgjtjdlEkM,"['Alan Young', 'Terence McGovern', 'Russi Taylor', 'Richard Libertini', 'Christopher Lloyd', 'June Foray', 'Chuck McCann', 'Joan Gerber', 'Rip Taylor', 'Charlie Adler']",['Bob Hathcock']
